station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,presentwx,metar
LGA,2013-05-31T00:51:00Z,87.98,59,37.69,240.00,7,0,30.05,1017.70,10,M,FEW,M,M,M,25000.00,M,M,M,M,KLGA 310051Z 24007KT 10SM FEW250 31/15 A3005 RMK AO2 SLP177 T03110150
LGA,2013-05-31T01:51:00Z,87.08,59,38.78,220.00,5,0,30.07,1018.10,10,M,FEW,M,M,M,25000.00,M,M,M,M,KLGA 310151Z 22005KT 10SM FEW250 31/15 A3007 RMK AO2 SLP181 T03060150
LGA,2013-05-31T02:51:00Z,86,59,40.14,210.00,5,0,30.07,1018.40,10,M,FEW,M,M,M,25000.00,M,M,M,M,KLGA 310251Z 21005KT 10SM FEW250 30/15 A3007 RMK AO2 SLP184 T03000150 53009
LGA,2013-05-31T03:51:00Z,84.92,62.06,46.32,250.00,8,0,30.08,1018.60,10,M,FEW,M,M,M,25000.00,M,M,M,M,KLGA 310351Z 25008KT 10SM FEW250 29/17 A3008 RMK AO2 SLP186 T02940167
LGA,2013-05-31T04:51:00Z,82.94,62.96,50.97,230.00,8,0,30.09,1018.80,10,M,CLR,M,M,M,M,M,M,M,M,KLGA 310451Z 23008KT 10SM CLR 28/17 A3009 RMK AO2 SLP188 T02830172 403390233
LGA,2013-05-31T05:51:00Z,82.04,62.96,52.47,240.00,8,0,30.09,1018.80,10,M,CLR,M,M,M,M,M,M,M,M,KLGA 310551Z 24008KT 10SM CLR 28/17 A3009 RMK AO2 SLP188 T02780172 10311 20278 51004
LGA,2013-05-31T06:51:00Z,80.06,62.96,55.97,230.00,6,0,30.09,1018.70,10,M,CLR,M,M,M,M,M,M,M,M,KLGA 310651Z 23006KT 10SM CLR 27/17 A3009 RMK AO2 SLP187 T02670172
LGA,2013-05-31T07:51:00Z,78.98,62.96,57.99,220.00,5,0,30.08,1018.70,10,M,CLR,M,M,M,M,M,M,M,M,KLGA 310751Z 22005KT 10SM CLR 26/17 A3008 RMK AO2 SLP187 T02610172
LGA,2013-05-31T08:51:00Z,77,62.96,61.91,0.00,0,0,30.08,1018.70,10,M,CLR,M,M,M,M,M,M,M,M,KLGA 310851Z 00000KT 10SM CLR 25/17 A3008 RMK AO2 SLP187 T02500172 56001
LGA,2013-05-31T09:51:00Z,77,64.04,64.3,0.00,0,0,30.1,1019.10,10,M,FEW,M,M,M,25000.00,M,M,M,M,KLGA 310951Z 00000KT 10SM FEW250 25/18 A3010 RMK AO2 SLP191 T02500178
LGA,2013-05-31T10:51:00Z,78.08,64.04,62.05,220.00,6,0,30.11,1019.60,10,M,CLR,M,M,M,M,M,M,M,M,KLGA 311051Z 22006KT 10SM CLR 26/18 A3011 RMK AO2 SLP196 T02560178
LGA,2013-05-31T11:51:00Z,80.96,64.04,56.45,0.00,0,0,30.12,1019.80,10,M,CLR,M,M,M,M,M,M,M,M,KLGA 311151Z 00000KT 10SM CLR 27/18 A3012 RMK AO2 SLP198 T02720178 10278 20244 51011
LGA,2013-05-31T12:51:00Z,82.04,64.04,54.5,320.00,3,0,30.12,1019.80,10,M,CLR,M,M,M,M,M,M,M,M,KLGA 311251Z 32003KT 10SM CLR 28/18 A3012 RMK AO2 SLP198 T02780178
LGA,2013-05-31T13:51:00Z,86,64.94,49.51,0.00,0,0,30.1,1019.30,10,M,CLR,M,M,M,M,M,M,M,M,KLGA 311351Z 00000KT 10SM CLR 30/18 A3010 RMK AO2 SLP193 T03000183
LGA,2013-05-31T14:51:00Z,89.06,64.04,43.53,M,3,0,30.09,1019.10,10,M,FEW,M,M,M,25000.00,M,M,M,M,KLGA 311451Z VRB03KT 10SM FEW250 32/18 A3009 RMK AO2 SLP191 T03170178 58007
LGA,2013-05-31T15:51:00Z,89.96,62.06,39.47,50.00,4,0,30.08,1018.60,10,M,FEW,SCT,M,M,7000.00,25000.00,M,M,M,KLGA 311551Z 05004KT 10SM FEW070 SCT250 32/17 A3008 RMK AO2 SLP186 T03220167
LGA,2013-05-31T16:51:00Z,91.04,62.96,39.38,180.00,11,0,30.07,1018.20,10,16.00,FEW,BKN,M,M,7000.00,25000.00,M,M,M,KLGA 311651Z 18011G16KT 10SM FEW070TCU BKN250 33/17 A3007 RMK AO2 SLP182 TCU N-NE T03280172
LGA,2013-05-31T17:51:00Z,91.94,60.98,35.7,180.00,12,0,30.05,1017.70,10,18.00,FEW,BKN,M,M,7000.00,25000.00,M,M,M,KLGA 311751Z 18012G18KT 10SM FEW070TCU BKN250 33/16 A3005 RMK AO2 SLP177 TCU NE T03330161 10339 20272 58014
LGA,2013-05-31T18:51:00Z,87.08,64.04,46.35,150.00,12,0,30.05,1017.40,10,M,FEW,BKN,M,M,7000.00,25000.00,M,M,M,KLGA 311851Z 15012KT 10SM FEW070TCU BKN250 31/18 A3005 RMK AO2 SLP174 TCU NE T03060178
LGA,2013-05-31T19:51:00Z,87.98,62.96,43.37,170.00,11,0,30.03,1017.00,10,M,BKN,M,M,M,25000.00,M,M,M,M,KLGA 311951Z 17011KT 10SM BKN250 31/17 A3003 RMK AO2 SLP170 T03110172
LGA,2013-05-31T20:51:00Z,87.98,60.98,40.44,150.00,10,0,30.01,1016.30,10,16.00,FEW,BKN,M,M,6000.00,22000.00,M,M,M,KLGA 312051Z 15010G16KT 10SM FEW060 BKN220 31/16 A3001 RMK AO2 SLP163 T03110161 58013
LGA,2013-05-31T21:51:00Z,87.08,60.98,41.61,150.00,9,0,29.99,1015.70,10,M,FEW,BKN,M,M,6000.00,23000.00,M,M,M,KLGA 312151Z 15009KT 10SM FEW060 BKN230 31/16 A2999 RMK AO2 SLP157 T03060161
LGA,2013-05-31T22:51:00Z,84.92,62.06,46.32,170.00,8,0,29.99,1015.50,10,M,FEW,SCT,M,M,6000.00,25000.00,M,M,M,KLGA 312251Z 17008KT 10SM FEW060 SCT250 29/17 A2999 RMK AO2 SLP155 T02940167
LGA,2013-05-31T23:51:00Z,84.92,57.92,39.97,180.00,8,0,29.98,1015.20,10,M,SCT,M,M,M,25000.00,M,M,M,M,KLGA 312351Z 18008KT 10SM SCT250 29/14 A2998 RMK AO2 SLP152 T02940144 10333 20289 56012
LGA,2013-06-01T00:51:00Z,84.02,59,42.77,180.00,7,0,29.98,1015.30,10,M,SCT,M,M,M,25000.00,M,M,M,M,KLGA 010051Z 18007KT 10SM SCT250 29/15 A2998 RMK AO2 SLP153 T02890150
LGA,2013-06-01T01:51:00Z,82.94,60.98,47.52,200.00,7,0,30.01,1016.10,10,M,SCT,M,M,M,25000.00,M,M,M,M,KLGA 010151Z 20007KT 10SM SCT250 28/16 A3001 RMK AO2 SLP161 T02830161
LGA,2013-06-01T02:51:00Z,84.02,60.08,44.45,230.00,7,0,30.02,1016.50,10,M,SCT,M,M,M,25000.00,M,M,M,M,KLGA 010251Z 23007KT 10SM SCT250 29/16 A3002 RMK AO2 SLP165 T02890156 53013
LGA,2013-06-01T03:51:00Z,82.94,60.08,46.03,220.00,8,0,30.01,1016.30,10,M,SCT,M,M,M,25000.00,M,M,M,M,KLGA 010351Z 22008KT 10SM SCT250 28/16 A3001 RMK AO2 SLP163 T02830156
LGA,2013-06-01T04:51:00Z,80.96,62.06,52.66,220.00,8,0,30.01,1016.20,10,M,SCT,M,M,M,25000.00,M,M,M,M,KLGA 010451Z 22008KT 10SM SCT250 27/17 A3001 RMK AO2 SLP162 T02720167 403390244
LGA,2013-06-01T05:51:00Z,78.98,64.04,60.23,220.00,9,0,30,1015.90,10,M,FEW,M,M,M,25000.00,M,M,M,M,KLGA 010551Z 22009KT 10SM FEW250 26/18 A3000 RMK AO2 SLP159 T02610178 10294 20261 58005
LGA,2013-06-01T06:51:00Z,78.08,64.04,62.05,230.00,9,0,30,1015.70,10,M,CLR,M,M,M,M,M,M,M,M,KLGA 010651Z 23009KT 10SM CLR 26/18 A3000 RMK AO2 SLP157 T02560178
LGA,2013-06-01T07:51:00Z,77,64.94,66.36,220.00,7,0,29.99,1015.60,10,M,CLR,M,M,M,M,M,M,M,M,KLGA 010751Z 22007KT 10SM CLR 25/18 A2999 RMK AO2 SLP156 T02500183
LGA,2013-06-01T08:51:00Z,75.92,64.94,68.78,220.00,7,0,30,1015.90,10,M,CLR,M,M,M,M,M,M,M,M,KLGA 010851Z 22007KT 10SM CLR 24/18 A3000 RMK AO2 SLP159 T02440183 55000
LGA,2013-06-01T09:51:00Z,75.92,64.04,66.65,220.00,9,0,30,1015.80,10,M,FEW,M,M,M,25000.00,M,M,M,M,KLGA 010951Z 22009KT 10SM FEW250 24/18 A3000 RMK AO2 SLP158 T02440178
LGA,2013-06-01T10:51:00Z,75.92,64.04,66.65,220.00,8,0,30.01,1016.20,10,M,FEW,M,M,M,25000.00,M,M,M,M,KLGA 011051Z 22008KT 10SM FEW250 24/18 A3001 RMK AO2 SLP162 T02440178
LGA,2013-06-01T11:51:00Z,78.08,64.04,62.05,220.00,10,0,30.01,1016.20,10,M,FEW,M,M,M,25000.00,M,M,M,M,KLGA 011151Z 22010KT 10SM FEW250 26/18 A3001 RMK AO2 SLP162 T02560178 10261 20239 53003
LGA,2013-06-01T12:51:00Z,78.98,64.04,60.23,230.00,10,0,30.01,1016.40,10,M,FEW,M,M,M,25000.00,M,M,M,M,KLGA 011251Z 23010KT 10SM FEW250 26/18 A3001 RMK AO2 SLP164 T02610178
LGA,2013-06-01T13:51:00Z,80.96,64.04,56.45,230.00,8,0,29.99,1015.60,10,M,FEW,M,M,M,25000.00,M,M,M,M,KLGA 011351Z 23008KT 10SM FEW250 27/18 A2999 RMK AO2 SLP156 T02720178
LGA,2013-06-01T14:51:00Z,84.02,64.04,51.12,220.00,9,0,29.99,1015.50,10,M,FEW,M,M,M,25000.00,M,M,M,M,KLGA 011451Z 22009KT 10SM FEW250 29/18 A2999 RMK AO2 SLP155 T02890178 58007
LGA,2013-06-01T15:51:00Z,86,64.04,47.97,240.00,10,0,29.98,1015.30,10,M,FEW,M,M,M,25000.00,M,M,M,M,KLGA 011551Z 24010KT 10SM FEW250 30/18 A2998 RMK AO2 SLP153 T03000178
LGA,2013-06-01T16:51:00Z,87.98,64.94,46.48,170.00,12,0,29.97,1014.80,10,16.00,FEW,SCT,M,M,5000.00,25000.00,M,M,M,KLGA 011651Z 17012G16KT 10SM FEW050 SCT250 31/18 A2997 RMK AO2 SLP148 T03110183
LGA,2013-06-01T17:51:00Z,87.98,64.94,46.48,160.00,12,0,29.95,1014.20,10,M,FEW,SCT,M,M,5000.00,25000.00,M,M,M,KLGA 011751Z 16012KT 10SM FEW050 SCT250 31/18 A2995 RMK AO2 SLP142 T03110183 10317 20256 58012
LGA,2013-06-01T18:51:00Z,87.98,64.04,45.04,150.00,10,0,29.93,1013.60,10,M,FEW,SCT,M,M,5000.00,25000.00,M,M,M,KLGA 011851Z 15010KT 10SM FEW050 SCT250 31/18 A2993 RMK AO2 SLP136 T03110178
LGA,2013-06-01T19:51:00Z,89.06,62.96,41.91,170.00,12,0,29.92,1013.10,10,M,FEW,SCT,SCT,M,5500.00,20000.00,25000.00,M,M,KLGA 011951Z 17012KT 10SM FEW055 SCT200 SCT250 32/17 A2992 RMK AO2 SLP131 T03170172
LGA,2013-06-01T20:51:00Z,87.98,62.96,43.37,160.00,11,0,29.91,1012.90,10,M,FEW,SCT,SCT,M,5500.00,20000.00,25000.00,M,M,KLGA 012051Z 16011KT 10SM FEW055 SCT200 SCT250 31/17 A2991 RMK AO2 SLP129 T03110172 56014
LGA,2013-06-01T21:51:00Z,87.98,62.96,43.37,170.00,12,0,29.9,1012.40,10,M,FEW,SCT,SCT,M,5500.00,20000.00,25000.00,M,M,KLGA 012151Z 17012KT 10SM FEW055 SCT200 SCT250 31/17 A2990 RMK AO2 SLP124 T03110172
LGA,2013-06-01T22:51:00Z,82.94,64.04,52.93,180.00,10,0,29.89,1012.20,10,M,SCT,BKN,M,M,20000.00,25000.00,M,M,M,KLGA 012251Z 18010KT 10SM SCT200 BKN250 28/18 A2989 RMK AO2 SLP122 T02830178
