#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-03-31 00:00:00+00:00 2017-06-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
LGA,2017-03-31 00:00,M,M,M,180.00,9.00,M,30.14,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,KLGA 310000Z AUTO 18009KT 10SM OVC079 A3014 RMK MADISHF
LGA,2017-03-31 00:05,M,M,M,180.00,10.00,M,30.15,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,KLGA 310005Z AUTO 18010KT 10SM OVC079 A3015 RMK MADISHF
LGA,2017-03-31 00:10,M,M,M,200.00,12.00,M,30.16,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,KLGA 310010Z AUTO 20012KT 10SM OVC079 A3016 RMK MADISHF
LGA,2017-03-31 00:15,M,M,M,180.00,9.00,M,30.15,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,KLGA 310015Z AUTO 18009KT 10SM OVC079 A3015 RMK MADISHF
LGA,2017-03-31 00:20,M,M,M,180.00,10.00,M,30.15,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,KLGA 310020Z AUTO 18010KT 10SM OVC079 A3015 RMK MADISHF
LGA,2017-03-31 00:25,M,M,M,180.00,10.00,M,30.15,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,KLGA 310025Z AUTO 18010KT 10SM OVC079 A3015 RMK MADISHF
LGA,2017-03-31 00:30,M,M,M,180.00,9.00,M,30.15,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,KLGA 310030Z AUTO 18009KT 10SM OVC079 A3015 RMK MADISHF
LGA,2017-03-31 00:35,M,M,M,180.00,7.00,M,30.14,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,KLGA 310035Z AUTO 18007KT 10SM OVC079 A3014 RMK MADISHF
LGA,2017-03-31 00:40,M,M,M,170.00,9.00,M,30.14,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,KLGA 310040Z AUTO 17009KT 10SM OVC079 A3014 RMK MADISHF
LGA,2017-03-31 00:45,M,M,M,190.00,9.00,M,30.14,M,10.00,M,OVC,M,M,M,7999.00,M,M,M,M,KLGA 310045Z AUTO 19009KT 10SM OVC079 A3014 RMK MADISHF
LGA,2017-03-31 00:50,M,M,M,190.00,10.00,M,30.14,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KLGA 310050Z AUTO 19010KT 10SM OVC075 A3014 RMK MADISHF
LGA,2017-03-31 00:51,46.00,28.00,49.18,190.00,9.00,0.00,30.14,1020.60,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KLGA 310051Z 19009KT 10SM OVC075 08/M02 A3014 RMK AO2 RAE2359 SLP206 P0000 T00781022
LGA,2017-03-31 00:55,M,M,M,190.00,8.00,M,30.14,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KLGA 310055Z AUTO 19008KT 10SM OVC075 A3014 RMK WND 15V21  MADISHF
LGA,2017-03-31 01:00,M,M,M,180.00,6.00,M,30.14,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KLGA 310100Z AUTO 18006KT 10SM OVC075 A3014 RMK MADISHF
LGA,2017-03-31 01:05,M,M,M,170.00,8.00,M,30.14,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KLGA 310105Z AUTO 17008KT 10SM OVC075 A3014 RMK MADISHF
LGA,2017-03-31 01:10,M,M,M,170.00,8.00,M,30.13,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KLGA 310110Z AUTO 17008KT 10SM OVC075 A3013 RMK MADISHF
LGA,2017-03-31 01:15,M,M,M,180.00,9.00,M,30.13,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KLGA 310115Z AUTO 18009KT 10SM OVC075 A3013 RMK MADISHF
LGA,2017-03-31 01:20,M,M,M,180.00,9.00,M,30.14,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KLGA 310120Z AUTO 18009KT 10SM OVC075 A3014 RMK MADISHF
LGA,2017-03-31 01:25,M,M,M,190.00,8.00,M,30.14,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KLGA 310125Z AUTO 19008KT 10SM OVC075 A3014 RMK MADISHF
LGA,2017-03-31 01:30,M,M,M,190.00,9.00,M,30.15,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KLGA 310130Z AUTO 19009KT 10SM OVC075 A3015 RMK MADISHF
LGA,2017-03-31 01:35,M,M,M,190.00,9.00,M,30.15,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KLGA 310135Z AUTO 19009KT 10SM OVC075 A3015 RMK MADISHF
LGA,2017-03-31 01:40,M,M,M,210.00,9.00,M,30.14,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KLGA 310140Z AUTO 21009KT 10SM OVC075 A3014 RMK MADISHF
LGA,2017-03-31 01:45,M,M,M,190.00,9.00,M,30.14,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KLGA 310145Z AUTO 19009KT 10SM OVC075 A3014 RMK MADISHF
LGA,2017-03-31 01:50,M,M,M,180.00,8.00,M,30.13,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KLGA 310150Z AUTO 18008KT 10SM OVC075 A3013 RMK MADISHF
LGA,2017-03-31 01:51,46.00,28.00,49.18,180.00,8.00,0.00,30.13,1020.30,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KLGA 310151Z 18008KT 10SM OVC070 08/M02 A3013 RMK AO2 SLP203 T00781022
LGA,2017-03-31 01:55,M,M,M,190.00,8.00,M,30.13,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KLGA 310155Z AUTO 19008KT 10SM OVC070 A3013 RMK MADISHF
LGA,2017-03-31 02:00,M,M,M,200.00,8.00,M,30.14,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KLGA 310200Z AUTO 20008KT 10SM OVC070 A3014 RMK MADISHF
LGA,2017-03-31 02:05,M,M,M,220.00,8.00,M,30.15,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,-RA,KLGA 310205Z AUTO 22008KT 10SM -RA OVC070 A3015 RMK MADISHF
LGA,2017-03-31 02:10,M,M,M,200.00,8.00,M,30.15,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,-RA,KLGA 310210Z AUTO 20008KT 10SM -RA OVC070 A3015 RMK MADISHF
LGA,2017-03-31 02:15,M,M,M,220.00,6.00,M,30.16,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,-RA,KLGA 310215Z AUTO 22006KT 10SM -RA OVC070 A3016 RMK MADISHF
LGA,2017-03-31 02:20,M,M,M,220.00,8.00,M,30.16,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,-RA,KLGA 310220Z AUTO 22008KT 10SM -RA OVC070 A3016 RMK MADISHF
LGA,2017-03-31 02:25,M,M,M,220.00,8.00,M,30.15,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,-RA,KLGA 310225Z AUTO 22008KT 10SM -RA OVC070 A3015 RMK MADISHF
