DATE,PRCP
20170101,0.00
20170102,0.18
20170103,0.45
20170104,0.00
20170105,0.00
20170106,0.04
20170107,0.28
20170108,0.00
20170109,0.00
20170110,0.00
20170111,0.52
20170112,0.05
20170113,0.00
20170114,0.10
20170115,0.00
20170116,0.00
20170117,0.37
20170118,0.11
20170119,0.00
20170120,0.07
20170121,0.00
20170122,0.03
20170123,0.85
20170124,1.00
20170125,0.00
20170126,0.02
20170127,0.00
20170128,0.00
20170129,0.00
20170130,0.00
20170131,0.06
20170201,0.00
20170202,0.00
20170203,0.00
20170204,0.00
20170205,0.00
20170206,0.00
20170207,0.23
20170208,0.02
20170209,0.87
20170210,0.00
20170211,0.00
20170212,0.42
20170213,0.01
20170214,0.00
20170215,0.00
20170216,0.00
20170217,0.00
20170218,0.00
20170219,0.00
20170220,0.00
20170221,0.00
20170222,0.00
20170223,0.00
20170224,0.00
20170225,0.32
20170226,0.00
20170227,0.00
20170228,0.00
20170301,0.12
20170302,0.00
20170303,0.00
20170304,0.00
20170305,0.00
20170306,0.00
20170307,0.10
20170308,0.06
20170309,0.00
20170310,0.24
20170311,0.00
20170312,0.00
20170313,0.00
20170314,1.03
20170315,0.00
20170316,0.00
20170317,0.00
20170318,0.07
20170319,0.00
20170320,0.00
20170321,0.00
20170322,0.00
20170323,0.00
20170324,0.00
20170325,0.00
20170326,0.12
20170327,0.20
20170328,0.65
20170329,0.00
20170330,0.00
20170331,2.10
20170401,0.01
20170402,0.00
20170403,0.03
20170404,1.60
20170405,0.00
20170406,0.85
20170407,0.00
20170408,0.00
20170409,0.00
20170410,0.00
20170411,0.00
20170412,0.03
20170413,0.00
20170414,0.00
20170415,0.00
20170416,0.00
20170417,0.00
20170418,0.00
20170419,0.00
20170420,0.24
20170421,0.27
20170422,0.07
20170423,0.00
20170424,0.00
20170425,0.64
20170426,0.28
20170427,0.01
20170428,0.00
20170429,0.06
20170430,0.00
20170501,0.00
20170502,0.00
20170503,0.00
20170504,0.00
20170505,2.27
20170506,0.06
20170507,0.00
20170508,0.00
20170509,0.00
20170510,0.00
20170511,0.00
20170512,0.00
20170513,1.74
20170514,0.01
20170515,0.00
20170516,0.00
20170517,0.00
20170518,0.00
20170519,0.00
20170520,0.01
20170521,0.00
20170522,0.64
20170523,0.00
20170524,0.03
20170525,0.87
20170526,0.12
20170527,0.00
20170528,0.00
20170529,0.16
20170530,0.03
20170531,0.05
20170601,0.00
20170602,0.00
20170603,0.00
20170604,0.04
20170605,0.02
20170606,0.03
20170607,0.00
20170608,0.00
20170609,0.00
20170610,0.00
20170611,0.00
20170612,0.00
20170613,0.00
20170614,0.50
20170615,0.00
20170616,-9999
